Player,Season,Games,Points,Rebounds,Assists,Steals,Blocks,FG_Percentage,TS_Percentage
Kawhi Leonard,2018-19,60,1596,439,199,106,24,49.6,0
Kawhi Leonard,2019-20,57,1543,402,280,103,33,47.0,0
Kawhi Leonard,2020-21,52,1292,337,269,81,21,51.2,0
Kawhi Leonard,2022-23,52,1239,338,204,72,28,51.2,0
Kawhi Leonard,2023-24,68,1613,416,244,111,59,52.5,0
Kawhi Leonard,2024-25,37,796,219,116,59,17,49.8,0
Kawhi Leonard,2025-26,65,1813,413,234,122,27,50.5,0
Kevin Durant,2007-08,80,1624,348,192,78,75,43.0,0
Kevin Durant,2008-09,74,1871,482,205,96,53,47.6,0
Kevin Durant,2009-10,82,2472,623,231,112,84,47.6,0
Kevin Durant,2010-11,78,2161,533,214,88,76,46.2,0
Kevin Durant,2011-12,66,1850,527,231,88,77,49.6,0
Kevin Durant,2012-13,81,2280,640,374,116,105,51.0,0
Kevin Durant,2013-14,81,2593,598,445,103,59,50.3,0
Kevin Durant,2014-15,27,686,178,110,24,25,51.0,0
Kevin Durant,2015-16,72,2029,589,361,69,85,50.5,0
Kevin Durant,2016-17,62,1555,513,300,66,99,53.7,0
Kevin Durant,2017-18,68,1792,464,366,50,119,51.6,0
Kevin Durant,2018-19,78,2027,497,457,58,84,52.1,0
Kevin Durant,2020-21,35,943,247,195,25,45,53.7,0
Kevin Durant,2021-22,55,1643,407,351,48,52,51.8,0
Kevin Durant,2022-23,39,1158,262,207,32,57,55.9,0
Kevin Durant,2023-24,75,2032,495,378,69,91,52.3,0
Kevin Durant,2024-25,62,1647,374,263,50,77,52.7,0
Kevin Durant,2025-26,78,2026,426,372,62,71,52.0,0
LeBron James,2003-04,79,1654,432,465,130,58,41.7,0
LeBron James,2004-05,80,2175,588,577,177,52,47.2,0
LeBron James,2005-06,79,2478,556,521,123,66,48.0,0
LeBron James,2006-07,78,2132,526,470,125,55,47.6,0
LeBron James,2007-08,75,2250,592,539,138,81,48.4,0
LeBron James,2008-09,81,2304,613,587,137,93,48.9,0
LeBron James,2009-10,76,2258,554,651,125,77,50.3,0
LeBron James,2010-11,79,2111,590,554,124,50,51.0,0
LeBron James,2011-12,62,1683,492,387,115,50,53.1,0
LeBron James,2012-13,76,2036,610,551,129,67,56.5,0
LeBron James,2013-14,77,2089,533,488,121,26,56.7,0
LeBron James,2014-15,69,1743,416,511,109,49,48.8,0
LeBron James,2015-16,76,1920,565,514,104,49,52.0,0
LeBron James,2016-17,74,1954,639,646,92,44,54.8,0
LeBron James,2017-18,82,2251,709,747,116,71,54.2,0
LeBron James,2018-19,55,1505,465,454,72,33,51.0,0
LeBron James,2019-20,67,1698,525,684,78,36,49.3,0
LeBron James,2020-21,45,1126,346,350,48,25,51.3,0
LeBron James,2021-22,56,1695,459,349,73,59,52.4,0
LeBron James,2022-23,55,1590,457,375,50,32,50.0,0
LeBron James,2023-24,71,1822,518,589,89,38,54.0,0
LeBron James,2024-25,70,1710,546,575,70,39,51.3,0
LeBron James,2025-26,60,1256,364,432,72,35,51.5,0
Shai Gilgeous-Alexander,2018-19,82,889,232,270,96,45,47.6,0
Shai Gilgeous-Alexander,2019-20,70,1331,412,232,79,47,47.1,0
Shai Gilgeous-Alexander,2020-21,35,830,166,207,27,23,50.8,0
Shai Gilgeous-Alexander,2021-22,56,1371,278,331,71,46,45.3,0
Shai Gilgeous-Alexander,2022-23,68,2135,329,371,112,65,51.0,0
Shai Gilgeous-Alexander,2023-24,75,2254,415,465,150,67,53.5,0
Shai Gilgeous-Alexander,2024-25,76,2484,379,486,131,77,51.9,0
Shai Gilgeous-Alexander,2025-26,68,2117,292,448,95,52,55.3,0
Stephen Curry,2009-10,80,1399,356,472,152,19,46.2,0
